questionId,url,question,isArchived,department,questionGroup,publicationDate,expiryDate,backgroundInformation,combinedTextLength,topics,fieldsOfResearch,tags,relatedQuestionsCount,relatedUKRIProjectsCount,selectionReasons
985780,https://ari.org.uk/aris/985780,1.1a  How can we mobilise international finance and attract investment for climate resilience and low-carbon projects in LMICs (low- and middle-income countries)? How can we ensure it has the desired impact and is sustainable?,false,"Foreign, Commonwealth & Development Office",1. Climate and Nature,2026-05-11 00:00:00,,"This theme seeks to understand a broad spectrum of climate and environment issues and to explore how the sustainable use of resources, new innovations, increased capacity, partnerships and scientific breakthroughs can drive transformations in global energy, economic, social and food systems to reduce externalities and enable sustainable, climate-resilient development. 
Research requirements span energy access and the energy transition, critical minerals, climate science, climate risk and resilience and water security and productive ecosystems. Cutting edge research and innovations in these areas helps to unlock the potential of green growth and the energy transition, to build communities’ resilience to climate change and to strengthen anticipatory action and responses to severe weather and food insecurity, particularly across Africa, South Asia and the Indo Pacific. Deepening understanding of the differential impact of climate risks, innovations and responses on different groups including intersectionality and approaches to ensuring, capacity strengthening and equitable and sustainable growth and poverty alleviation.",1381,"[""economy, business and finance"",""environmental, social and governance policy (ESG)"",""economic globalisation"",""investments"",""environment"",""climate change"",""renewable energy"",""politics"",""science and technology"",""climate change"",""government policy"",""economic policy"",""economic development incentive"",""foreign aid"",""international organisation"",""science and technology"",""society""]","[""commerce, management, tourism and services"",""banking, finance and investment"",""economics"",""applied economics"",""economic theory"",""engineering"",""environmental sciences"",""climate change impacts and adaptation"",""human society"",""development studies"",""policy and administration"",""science and technology"",""economics""]","[""climate resilience"",""investment"",""sustainable development""]",0,0,background; current; ukri_zero; department_spread
719278,https://ari.org.uk/aris/719278,How can BSR most effectively evaluate the impact of the Building Regulations and associated guidance on improved building safety outcomes?,true,Health and Safety Executive,How can HSE ensure that our regulatory approach in the built environment is fit for purpose for the future?,2025-12-17 00:00:00,,"HSE Strategic Objective: Increase and maintain trust to ensure people feel safe where they live, where they work, and in their environment (https://www.hse.gov.uk/aboutus/assets/docs/the-hse-strategy.pdf)

Research is required to address priority knowledge gaps that will underpin effective and proportionate regulatory regimes for building safety, construction and chemicals through evidence-based approaches. To underpin policy, regulatory and operational activities in this strategic objective the evidence requirements in this area will include:

To address key areas of focus for the Building Safety Regulator (BSR) to inform its continuing work to develop a collective understanding of the built environment that will underpin policy and regulatory decision-making and standards development with an improved understanding of building safety risk. This will involve identification and assessment of emerging risks and keeping abreast of changes and trends across the built environment. Research will also underpin the BSR strategic objective to lead the development of policy relating to the regular review of Approved Documents and the provision of associated technical advice to aid compliance with the building regulations.

To further develop understanding of innovation and of new and emerging legacy issues and their impact on building safety and on construction health and safety and associated standards and guidance. This will include identifying potential implications of new and emerging technologies for building safety risk profiles through the building life cycle and identifying opportunities to eliminate or reduce risks at the design stage whilst also informing the development of appropriate intervention strategies.  

To inform standards and guidance development to improve the safety and standard of buildings and develop effective strategies for oversight of the built environment, evaluation of the BSR and to measure and build competence across the built environment and construction sector.

To enable transformative advances in health and safety across the diverse construction sector through technology and innovation and the new opportunities and risks arising from such changes. 

To ensure that our approach to regulating chemicals and microbial control agents is effective, efficient, agile and based on up-to-date understanding and evidence.    This will ensure that HSE continues to be an internationally influential and competent regulator that ensures the protection of workers, bystanders, consumers and the environment from chemicals whilst enabling GB to grow and prosper.  

To develop the evidence needed to ensure that our regulatory approach to chemicals is fit for purpose for the future.  This requires an understanding of the future trends in chemical use, technological changes and consequences for both health and environmental hazards.

To develop the evidence for innovative approaches to regulation through collaboration across HSE and other government departments, to make sure we maintain our world-class reputation for regulatory excellence. We will continue to make the best use of new data collection techniques, modelling and analytical methods to help us make proportionate regulatory decisions.

The questions provide more detail of the evidence needs within the main Areas of Research Interest Question Group.",3602,[],[],[],1,10,archived; background; health_related; long_text; ukri_many; department_spread
719062,https://ari.org.uk/aris/719062,What are the implications of using AI models and what are their impacts on different customer groups?,false,HMRC,Modernisation and Reform- Data Use - Use of AI models,2024-11-11 00:00:00,,"The use of digital technology to deliver government administration and public services generates useful data and analytics as well as opportunities to capitalise on artificial intelligence. Increasingly complex data flows within and across organisations have made data privacy and trustworthy management of data all the more important. Whilst existing data protection legal frameworks regulate the collection and use of personal data, there are other ethical and technical considerations on data collection and sharing in the tax system that are worth exploring.",718,[],[],[],1,10,background; current; dea_overlap_department; ukri_many; department_spread
718917,https://ari.org.uk/aris/718917,How effective is spending through financial benefits compared to service provision in supporting different groups of people?,false,HMT,Public Spending & Public Services,2024-11-11 00:00:00,,"Analysis on Public Spending and Public Services relates to how HM Treasury advises ministers on both the level and the composition of how taxpayers’ money is spent. Within this we are interested in driving improved outcomes and efficiency across key public services and departments; ensuring value for money is at the centre for decision-making through better data, analysis and evaluation; and putting the public finances on a strong and sustainable footing.",618,[],[],[],1,10,background; current; ukri_many; department_spread
999861,https://ari.org.uk/aris/999861,What are the predicted trends in the implementation and use of nuclear power in shipping?,false,MCA,Decarbonisation,2025-11-17 00:00:00,,"We aim to encourage and enable the decarbonisation of the UK maritime industry, in line with the International Maritime Organisation (IMO) strategy to reduce global shipping emissions.

To be progressive regulators and effectively support industry to make this transition, we need to be well-informed by high quality evidence.",431,"[""economy, business and finance"",""alternative energy"",""biofuel"",""environment"",""energy resources"",""renewable energy""]","[""engineering"",""maritime engineering"",""evidence-based policy""]","[""Nuclear propulsion (maritime)"",""Future ship energy systems"",""Regulatory readiness for nuclear"",""Technology adaption trends"",""Maritime decarbonisation""]",1,1,background; current; ukri_few; department_spread
724007,https://ari.org.uk/aris/724007,Are there any analytical tools we should be aware of that could support work at the local level?,false,"Ministry of Housing, Communities and Local Government",Cross-cutting research methodologies and related issues,2025-03-05 00:00:00,,"We are keen to hear about the cutting-edge approaches the research community is using which could have applications in MHCLG’s work. Particularly in ground-breaking evaluations, with a robust focus on impact and value for money. We are also interested in innovative techniques (such as preventative analytics) and data sharing.",480,"[""economy, business and finance"",""research and development"",""education"",""politics"",""public finance"",""government policy"",""economic policy"",""data protection policy"",""science and technology"",""technology and engineering"",""information technology and computer science"",""society"",""social condition"",""welfare""]","[""built environment and design"",""economics"",""environmental sciences"",""human society"",""policy and administration"",""other human society"",""information and computing sciences"",""applied computing"",""data management and data science""]","[""data analysis"",""data sharing"",""impact evaluation"",""innovation"",""local governance""]",1,7,background; current; department_spread
17724,https://ari.org.uk/aris/17724,"How can the use of data and technology support our workforce with case management, risk mitigation, and the delivery of effective supervision?",true,Ministry of Justice,Staff and workforce,2020-12-14 00:00:00,,We want to build confidence and trust in a system that upholds public protection and creates the conditions for individual rehabilitation. We want to better support the probation service in using evidence-based decision-making.,390,"[""crime, law and justice"",""science and technology"",""technology and engineering"",""information technology and computer science""]","[""information and computing sciences"",""applied computing"",""data management and data science"",""information systems""]","[""data"",""technology"",""workforce"",""case management"",""risk mitigation"",""supervision""]",1,2,archived; background; dea_overlap_department; short_text; ukri_few; department_spread
798419,https://ari.org.uk/aris/798419,What capabilities do we currently rely on and what might we need in the future? How can horizon scanning and futures thinking be used to inform policy decisions?,false,NCA,Cross Cutting/Horizon Scanning/Horizon Scanning,2025-07-18 00:00:00,,"Alongside the more specific categories for further research, there are some cross-cutting themes where the research questions and gaps are relevant across economic crime as a whole. 

This includes how best to understand and respond to the threat as technology develops quickly. For example, how might this technology development influence the response required. 

There are also gaps in the best research methods to understand economic crime as a whole; for example, around best identification and utilisation of suitable data sources. Finally, horizon scanning is crucial to maintaining sight of how the threat may evolve and how best to prepare for mitigating that in the future.",888,[],[],"[""economic crime"",""horizon scanning""]",1,10,background; current; ukri_many; department_spread
345165,https://ari.org.uk/aris/345165,International Relations,false,Nuclear Decommissioning Authority,Critical Enablers,2023-11-15 00:00:00,,We recognise that whilst some of our decommissioning challenges are unique there are opportunities for research collaborations on decommissioning with international nuclear organisations such as International Atomic Energy Agency or Nuclear Energy Agency and organisations with similar remit to NDA in other countries.,360,"[""economy, business and finance"",""nuclear power"",""science and technology"",""nuclear physics""]","[""physical sciences"",""nuclear and plasma physics""]","[""international relations"",""nuclear decommissioning"",""research collaborations"",""nuclear organizations"",""policy-making""]",1,10,background; current; short_text; ukri_many; department_spread
242495,https://ari.org.uk/aris/242495,"Statistics representing society: How well or poorly do statistics represent society, and what are the impacts of this on how they are used and valued?",false,Office for Statistics Regulation,Cross-cutting interests,2023-10-26 00:00:00,,"To deliver against our vision of statistics that serve the public good, in OSR we describe our work under the headings of how statistics are produced, how they are used, and how they are valued. However, in practice it is natural that elements of our work and interests cut across all of these three areas. Some of the questions we are interested in span multiple areas of our mission (how statistics are produced, used and valued).",607,"[""science and technology"",""social sciences"",""sociology"",""society"",""demographics"",""population and census"",""discrimination"",""social condition"",""ethics"",""welfare""]","[""economics"",""human society"",""anthropology"",""criminology"",""demography"",""development studies"",""gender studies"",""human geography"",""policy and administration"",""information and computing sciences""]","[""statistics"",""society"",""data analysis"",""policy-making"",""public good""]",1,6,background; current; department_spread
725459,https://ari.org.uk/aris/725459,How do other countries use property taxes and how have successful reforms to these been delivered?,false,Scottish Government Department for Tax and Revenues,Local government taxation,2024-12-04 00:00:00,,"Our plan is to research the tax systems of other countries to understand how best to structure the balance between local and national taxes, with a particular focus on property taxes.",308,"[""politics"",""taxation""]",[],[],1,0,background; current; short_text; ukri_zero; department_spread
999997,https://ari.org.uk/aris/999997,How do Scotland's people make the most of opportunities presented by land reform?,false,"Scottish Government Environment, Natural Resources and Agriculture",Enhancing rural and island communities,2026-03-05 00:00:00,,"Question Group: Focused on strengthening Scotland’s rural and island communities, by improving understanding of service delivery, investment and land reform, alongside the characteristics of diverse rural and island areas. Aims to empower rural and island communities through innovative and place-based research methods, and provision of the right data and tools, to ensure that they can thrive.

Sub-questions: - Are there geographical disparities in which communities have benefited from land reform, and which have not, and what differentiates them?  
- What are the most important support mechanisms in place for community ownership - insitutional public sector support?  What are the gaps?
- What support or help is needed after the buyout to support community ownership (from public sector and third sector)? Are there specific interventions (e.g. governance) which arise repeatedly for communities owning land?
- Would other governance mechanisms and approaches to land reform better suit communities and citizens?
- What has been the wider social impact of decisions to take land or other assets into community owners, and how has that compared to initial assessments or business cases? 
- How have policies like LRRS and guidence for community engagement impacted the quality of engagement between landowners and local communities over time? 
- Is there any difference in impact/outputs between public bodies and private sector in terms of supporting land reform through LRRS etc? / Are public bodies delivering the LRRS?
- What is the role/impact of communities taking on responsibilities over land, assets or services without ownership? What are the risks/benefits?",1791,"[""society"",""communities""]","[""agricultural, veterinary and food sciences"",""agriculture, land and farm management""]","[""land reform"",""rural"",""islands""]",1,10,background; current; long_text; ukri_many; department_spread
728596,https://ari.org.uk/aris/728596,"How do we encourage greater diversity – in terms of protected characteristics and socio-economic background – amongst the justice sector workforce and in the legal profession, including within senior roles such as the judiciary?",false,Scottish Government Justice Analytical Services,Whole Justice System Analysis - Justice Equalities,2025-05-27 00:00:00,,"Delivering the Scottish Government’s Vision for Justice requires a whole system approach as recognised in its four underpinning core principles: ‘Founded in equality and human rights’,’ Evidence-based’, ‘Embed person-centred and trauma-informed practices’ and, ‘Collaboration and Partnership’. As such, Justice Analytical Services have identified the theme of ‘Whole Justice System Analysis’ as a research priority. This theme includes holistic research into justice equalities, justice economics and justice as a system – robust research on all of these topics will inform work towards the Vision for Justice aims.",895,"[""crime, law and justice"",""justice""]",[],"[""justice system"",""diversity"",""judiciary"",""legal profession"",""protected characteristics""]",1,7,background; current; department_spread
871246,https://ari.org.uk/aris/871246,"What long-term funding frameworks could sustain the monitoring infrastructure 
needed to detect ecosystem-scale changes over decadal timeframes?",false,Scottish Government Marine Directorate,Intelligent Observation - Transformation Monitoring,2025-08-20 00:00:00,,"Effective management of Scotland's marine and freshwater environments requires robust, 
timely, and accessible data and evidence. This research area focuses on developing and 
implementing new approaches for monitoring, data collection, analysis, and curation and 
sharing to support evidence-based decision-making and adaptive management.",532,"[""environment""]",[],[],1,10,background; current; ukri_many; department_spread
866780,https://ari.org.uk/aris/866780,"Identify additional considerations and emerging areas of research that could enhance our understanding of the relationship between climate change, sport, and physical activity.",false,Sport England,"ARI 8: Understanding the impacts of a changing climate on people, places, and sport and physical activity.",2025-08-05 00:00:00,,"Sport England seeks to tackle inequalities in sport and physical activity, providing opportunities to people and communities that have traditionally been left behind, and helping to remove the barriers to activity. 

Understanding how people think, feel, experience, and behave towards sport and physical activity is fundamental in shaping inclusive, equitable policies and practices. We need greater evidence on what works so we know how best to do this.

The question above relates to the following Sport England Area of Research Interest: ARI 8. Understanding the impacts of a changing climate on people, places, and sport and physical activity.

*Please visit Sport England's ARI webpage for our definition of under-represented* groups, and to download the source document: https://www.sportengland.org/research-and-data/areas-of-research-interest",1131,"[""environment"",""climate change"",""health"",""public health"",""lifestyle and leisure"",""exercise and fitness"",""society"",""demographics"",""pregnancy and childbirth"",""adults"",""children"",""disabilities"",""national or ethnic minority"",""social condition"",""sport""]","[""environmental sciences"",""climate change impacts and adaptation"",""health sciences"",""public health"",""sports science and exercise"",""human society"",""demography"",""human geography"",""sociology"",""psychology"",""climate change""]","[""sport"",""physical activity"",""climate change"",""climate impact"",""under-represented groups"",""attitudes"",""behaviours""]",1,10,background; current; health_related; ukri_many; department_spread
721357,https://ari.org.uk/aris/721357,"How do we actively engage different audiences and research communities in impactful ways, maintaining a reflexive and inclusive approach to research practice, engagement and development?",false,The National Archives,The archive within and for society,2025-02-03 00:00:00,,"Finally, we believe that archives are for everyone, and should mean something to everyone. It is not enough to wait for our stakeholders to come to us; we must go beyond our own front doors, to realise the public value of the archive in society through our educational and student programmes, our work in communities, and our partnerships with the wider academic sector.

This research theme captures our vision for the archive as an institution that helps us both understand and shape our own wellbeing and social identity, as a space where the stories of our records and our objects come to life, and as a place where our users are fully empowered, including by the latest technological tools, to conduct their own scholarship into our collection.

The National Archives is one of around 2,500 archives in the United Kingdom. Our vision can only be realised through a national infrastructure of public and private archives, delivering social and economic value in the places where they are found, and working in partnership with the wider galleries, libraries, museums and academic (GLAMA) sectors. As the sector leadership body for archives, we are committed to releasing their potential through an ambitious vision for the archives sector across the UK.",1477,[],[],[],1,10,background; current; ukri_many; department_spread
496635,https://ari.org.uk/aris/496635,"How can policing utilise smart assistants, such as to manage the logistics of police deployment and tasking or to ensure that victims and witnesses receive the best possible support?",false,UK Policing: Office of Police Chief Scientific Adviser,"Interconnectivity – modern, full journey public engagement",2024-04-08 00:00:00,,"""The ability to pass information quickly, accurately, and securely, and the ability to intercept or disrupt communications of others.

Our interests here relate to how policing can better service the public and victims to that they have easy and timely access to information. This might consider the use of possible ‘self-service’ options or smart assistants to provide assurance to victims on their case progress. This interest is not about reducing the person contact the pubic have with the police workforce but being able to use that contact in a smarter, more effective way. """,822,"[""crime, law and justice"",""law enforcement"",""science and technology"",""information technology and computer science""]","[""policing"",""smart assistants"",""logistics"",""victim support"",""witness support""]","[""policing"",""smart assistants"",""logistics"",""victim support"",""witness support""]",1,10,background; current; ukri_many; department_spread
986675,https://ari.org.uk/aris/986675,"4.7. What are the main challenges in ensuring online safety in a minority language?

4.7a Which approaches are effective in addressing these challenges?",false,Welsh Government,Creating favourable conditions—infrastructure and context,2026-01-08 00:00:00,,"This theme is about creating the infrastructure and conditions needed to support the two preceding themes—that is, the acquisition and use of the Welsh language. It spans a wide range of policy areas. 

Effective economic planning and development are essential to creating environments where the Welsh language can be transmitted, acquired, learned, and used. Raising productivity in communities with a higher density of Welsh speakers is particularly important for ensuring their long-term viability —and, by extension, the viability of the Welsh language within them. Ensuring that the Welsh language is embedded in cultural life and the media in Wales, and is at the forefront of digital innovation, is also critical to the success of Cymraeg 2050.

Within this theme, there are questions relating to community and the economy, culture and the media, digital technology, linguistic infrastructure, and language planning,",1130,[],[],[],1,0,background; current; ukri_zero; department_spread
