card_id,record_id,official_project_id,material_role,keyed_status,coder_section,trainer_section,pilot_number,in_exclusion_csv,validation_included,package_status,notes,post_pilot_calibration_document,post_pilot_calibration_role
A1;P1,2019/004,2019/004,worked_example,keyed,2. Substantive domains;3. Analytical purposes,2. Substantive domains;3. Analytical purposes,,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Repeated teaching appearances A1 and P1; one exclusion record.,,
A2;P3,2020/021,2020/021,worked_example,keyed,2. Substantive domains;3. Analytical purposes,2. Substantive domains;3. Analytical purposes,,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Repeated teaching appearances A2 and P3; one exclusion record.,,
A3;S1,2024/019,2024/019,worked_example,keyed,2. Substantive domains;5. Evidence sufficiency taxonomy fit and confidence,2. Substantive domains;5. Evidence sufficiency taxonomy fit and confidence,,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Repeated teaching appearances A3 and S1; one exclusion record.,,
P2;T2,2022/073,2022/073,worked_example,keyed,3. Analytical purposes;COVID-19 & Pandemic tag,3. Analytical purposes;COVID-19 & Pandemic tag,,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Repeated teaching appearances P2 and T2; one exclusion record.,,
P4,2025/039,2025/039,worked_example,keyed,3. Analytical purposes,3. Analytical purposes,,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Prospective prediction worked example.,,
P5,2022/042,2022/042,worked_example,keyed,3. Analytical purposes,3. Analytical purposes,,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Life-course or trajectory worked example.,,
P6,2021/065,2021/065,worked_example,keyed,3. Analytical purposes,3. Analytical purposes,,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Service interaction or systems worked example.,,
P7,2025/251,2025/251,worked_example,keyed,3. Analytical purposes,3. Analytical purposes,,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Methodological-purpose boundary worked example.,,
T1,2021/113,2021/113,worked_example,keyed,COVID-19 & Pandemic tag,COVID-19 & Pandemic tag,,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Demographic-disparities or equity tag worked example.,,
T3,2021/007,2021/007,worked_example,keyed,COVID-19 & Pandemic tag,COVID-19 & Pandemic tag,,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,COVID-19 tag worked example.,,
I1,2020/003,2020/003,worked_example,keyed,6. Complete integrated practice,6. Complete integrated practice,,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Complete integrated worked example.,,
I2,2022/090,2022/090,discussion_case,unkeyed,6. Complete integrated practice,6. Complete integrated practice,,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Unkeyed discussion case with no single complete key.,,
Pilot 1,2019/015,2019/015,pilot,not_applicable,Post-pilot calibration Example 1,8. Hidden independent pilot set and debrief guide,1,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,"Defined in trainer handout and separate pilot/debrief reference; also used in the shared post-pilot calibration without changing exclusion status, pilot responses, or keyed status. Circulated simultaneously to all three scratch coders on 2026-07-21; coder feedback resolved without changing exclusion membership or pilot responses.",DEA_post_pilot_shared_calibration_note.docx,coder-facing post-pilot shared calibration; excluded pilot example only
Pilot 2,2021/038,2021/038,pilot,not_applicable,Post-pilot calibration Example 2,8. Hidden independent pilot set and debrief guide,2,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,"Defined in trainer handout and separate pilot/debrief reference; also used in the shared post-pilot calibration without changing exclusion status, pilot responses, or keyed status. Circulated simultaneously to all three scratch coders on 2026-07-21; coder feedback resolved without changing exclusion membership or pilot responses.",DEA_post_pilot_shared_calibration_note.docx,coder-facing post-pilot shared calibration; excluded pilot example only
Pilot 3,2021/063,2021/063,pilot,not_applicable,not_applicable,8. Hidden independent pilot set and debrief guide,3,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Defined in trainer handout and separate pilot/debrief reference.,,
Pilot 4,2021/103,2021/103,pilot,not_applicable,not_applicable,8. Hidden independent pilot set and debrief guide,4,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Defined in trainer handout and separate pilot/debrief reference.,,
Pilot 5,2022/130,2022/130,pilot,not_applicable,not_applicable,8. Hidden independent pilot set and debrief guide,5,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Defined in trainer handout and separate pilot/debrief reference.,,
Pilot 6,2024/248,2024/248,pilot,not_applicable,Post-pilot calibration Example 4,8. Hidden independent pilot set and debrief guide,6,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,"Defined in trainer handout and separate pilot/debrief reference; also used in the shared post-pilot calibration without changing exclusion status, pilot responses, or keyed status. Circulated simultaneously to all three scratch coders on 2026-07-21; coder feedback resolved without changing exclusion membership or pilot responses.",DEA_post_pilot_shared_calibration_note.docx,coder-facing post-pilot shared calibration; excluded pilot example only
Pilot 7,2021/056,2021/056,pilot,not_applicable,Post-pilot calibration Example 3,8. Hidden independent pilot set and debrief guide,7,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,"Defined in trainer handout and separate pilot/debrief reference; also used in the shared post-pilot calibration without changing exclusion status, pilot responses, or keyed status. Circulated simultaneously to all three scratch coders on 2026-07-21; coder feedback resolved without changing exclusion membership or pilot responses.",DEA_post_pilot_shared_calibration_note.docx,coder-facing post-pilot shared calibration; excluded pilot example only
Pilot 8,2022/034,2022/034,pilot,not_applicable,not_applicable,8. Hidden independent pilot set and debrief guide,8,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Defined in trainer handout and separate pilot/debrief reference.,,
Pilot 9,2025/181,2025/181,pilot,not_applicable,not_applicable,8. Hidden independent pilot set and debrief guide,9,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Defined in trainer handout and separate pilot/debrief reference.,,
Pilot 10,2025/027,2025/027,pilot,not_applicable,not_applicable,8. Hidden independent pilot set and debrief guide,10,yes,no,verified_working_candidate_feedback_resolved_pending_formal_freeze,Defined in trainer handout and separate pilot/debrief reference.,,
