variable_name,conceptual_name,form_name,field_type,response_code,response_label,canonical_taxonomy_label,required_rule,branching_rule,visible_to_scratch_coder,visible_to_project_owner,exported_for_analysis,notes
assignment_id,Neutral opaque assignment identifier,assignment_admin,text,,,,required,,no,no,yes,@HIDDEN-SURVEY @READONLY
record_kind,Administrative record type,assignment_admin,radio,1,Project assignment,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
record_kind,Administrative record type,assignment_admin,radio,2,Coder declaration,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
record_kind,Administrative record type,assignment_admin,radio,3,Synthetic QA,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
review_stream,Review stream,assignment_admin,radio,1,Scratch coder,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
review_stream,Review stream,assignment_admin,radio,2,Project owner,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
reviewer_id,Administrative reviewer identifier,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
source_record_id,Stable source Record ID,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
official_project_id,Official Project ID,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
project_title,Frozen public-register project title,assignment_admin,notes,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
datasets_used,Frozen public-register datasets-used entry,assignment_admin,notes,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_set,Sample set,assignment_admin,radio,1,Baseline,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_set,Sample set,assignment_admin,radio,2,Hard case,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_set,Sample set,assignment_admin,radio,3,Owner review,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_set,Sample set,assignment_admin,radio,4,Pilot,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
hard_stratum,Hard-case stratum,assignment_admin,radio,0,Not applicable,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
hard_stratum,Hard-case stratum,assignment_admin,radio,1,Domain only,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
hard_stratum,Hard-case stratum,assignment_admin,radio,2,Purpose only,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
hard_stratum,Hard-case stratum,assignment_admin,radio,3,Both,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
validation_included,Included in validation analysis,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_status,Active or reserve status,assignment_admin,radio,1,Active,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_status,Active or reserve status,assignment_admin,radio,2,Reserve,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
sample_status,Active or reserve status,assignment_admin,radio,3,Review only,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
display_order,Reviewer display order,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
assignment_batch,Assignment batch,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
source_pop_ver,Source-population version,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
production_ver,Production-output version,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
instrument_ver,Instrument version,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
cluster_id,Project-level clustering identifier,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_resp_id,Owner respondent identifier,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_project_id,Owner project identifier,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_recruit_route,Owner recruitment route,assignment_admin,radio,0,Not applicable,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_recruit_route,Owner recruitment route,assignment_admin,radio,1,Sequence based,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_recruit_route,Owner recruitment route,assignment_admin,radio,2,Supplementary purposive,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_recruit_route,Owner recruitment route,assignment_admin,radio,3,Post-revision,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_sequence_pos,Owner greedy-sequence position,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_invite_batch,Owner invitation batch or checkpoint,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_invite_date,Owner invitation date,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_reminder_date,Owner reminder date,assignment_admin,text,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_contact_disp,Owner contact/recruitment disposition,assignment_admin,radio,0,Not applicable,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_contact_disp,Owner contact/recruitment disposition,assignment_admin,radio,1,Contactable,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_contact_disp,Owner contact/recruitment disposition,assignment_admin,radio,2,Unreachable,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_contact_disp,Owner contact/recruitment disposition,assignment_admin,radio,3,Failed delivery,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_contact_disp,Owner contact/recruitment disposition,assignment_admin,radio,4,No response,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_contact_disp,Owner contact/recruitment disposition,assignment_admin,radio,5,Response received,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_supp_reason,Pre-contact reason for supplementary invitation,assignment_admin,notes,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_response_status,Owner response status,assignment_admin,radio,0,Not invited,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_response_status,Owner response status,assignment_admin,radio,1,Invited,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_response_status,Owner response status,assignment_admin,radio,2,Partial,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_response_status,Owner response status,assignment_admin,radio,3,Complete,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_response_status,Owner response status,assignment_admin,radio,4,Non-response,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
owner_response_status,Owner response status,assignment_admin,radio,5,Failed delivery,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_d01,Proposed domain flag: Labour Market & Employment,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_d02,Proposed domain flag: Education & Skills,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_d03,Proposed domain flag: Health & Social Care,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_d04,Proposed domain flag: Crime & Justice,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_d05,Proposed domain flag: Business & Productivity,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_d06,"Proposed domain flag: Poverty, Wealth & Living Standards",assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_d07,Proposed domain flag: Housing & Planning,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_d08,Proposed domain flag: Migration & Demographics,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_d09,Proposed domain flag: Environment & Agriculture,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_d10,Proposed domain flag: Public Finance & Taxation,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_d11,Proposed domain flag: Data Infrastructure & Methodology,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_d12,Proposed domain flag: Unclear from Register Entry,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_p01,Proposed purpose flag: Descriptive Monitoring,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_p02,Proposed purpose flag: Outcome Tracking,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_p03,Proposed purpose flag: Life-Course / Trajectory Analysis,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_p04,Proposed purpose flag: Service Interaction / Systems Analysis,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_p05,Proposed purpose flag: Policy Evaluation / Impact Analysis,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_p06,Proposed purpose flag: Risk Prediction / Early Identification,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_p07,Proposed purpose flag: Methodological / Infrastructure Research,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_p08,Proposed purpose flag: Unclear from Register Entry,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_t01,Proposed tag flag: Demographic disparities / equity tag,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
prop_t02,Proposed tag flag: COVID-19 & Pandemic,assignment_admin,yesno,,,,optional/display,,no,no,yes,@HIDDEN-SURVEY @READONLY
cd_intro,Complete this declaration once before beginning formal project coding.,coder_declaration,descriptive,,,,optional/display,[record_kind] = '2',no,no,no,
cd_reviewer,<strong>Coder:</strong> [reviewer_id],coder_declaration,descriptive,,,,optional/display,[record_kind] = '2',no,no,no,
cd_declaration,"I confirm that, throughout formal coding, I will base each classification only on the permitted public-register title, datasets-used entry and approved training materials, and will flag any project for which I have additional prior, professional or accidentally acquired information.",coder_declaration,radio,1,Confirmed,,conditional,[record_kind] = '2',no,no,yes,
cd_declaration,"I confirm that, throughout formal coding, I will base each classification only on the permitted public-register title, datasets-used entry and approved training materials, and will flag any project for which I have additional prior, professional or accidentally acquired information.",coder_declaration,radio,0,Cannot confirm,,conditional,[record_kind] = '2',no,no,yes,
cd_nonconfirm_note,"Briefly explain why you cannot make the declaration. Do not include passwords, restricted data or identifiable information about another reviewer.",coder_declaration,notes,,,,conditional,[record_kind] = '2' and [cd_declaration] = '0',no,no,yes,
sc_intro,"Classify using only the displayed title, datasets-used entry and approved training materials.",scratch_coder,descriptive,,,,optional/display,[record_kind] <> '2' or [record_kind] = '',yes,no,no,
sc_assignment,Assignment: <strong>[assignment_id]</strong>,scratch_coder,descriptive,,,,optional/display,[record_kind] <> '2' or [record_kind] = '',yes,no,no,
sc_project_title,<strong>Project title</strong><br>[project_title],scratch_coder,descriptive,,,,optional/display,[record_kind] <> '2' or [record_kind] = '',yes,no,no,
sc_datasets,<strong>Datasets used</strong><br>[datasets_used],scratch_coder,descriptive,,,,optional/display,[record_kind] <> '2' or [record_kind] = '',yes,no,no,
sc_blind_decl,I confirm that I used only the permitted register evidence and training materials.,scratch_coder,radio,1,Confirmed,,conditional,([record_kind] <> '2' or [record_kind] = '') and [instrument_ver] = 'redcap-candidate-0.3',yes,no,yes,
sc_blind_decl,I confirm that I used only the permitted register evidence and training materials.,scratch_coder,radio,0,Cannot confirm,,conditional,([record_kind] <> '2' or [record_kind] = '') and [instrument_ver] = 'redcap-candidate-0.3',yes,no,yes,
sc_exposure,"Before or during coding this project, did you have access to information about it beyond the permitted public-register title, datasets-used entry and approved training materials?",scratch_coder,radio,0,No,,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select Yes if you had any additional knowledge, including prior involvement in or familiarity with the project, professional or institutional knowledge, or accidental exposure to another reviewer’s information. Still complete the classification, basing your answer only on the permitted register evidence and approved training materials."
sc_exposure,"Before or during coding this project, did you have access to information about it beyond the permitted public-register title, datasets-used entry and approved training materials?",scratch_coder,radio,1,Yes,,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select Yes if you had any additional knowledge, including prior involvement in or familiarity with the project, professional or institutional knowledge, or accidental exposure to another reviewer’s information. Still complete the classification, basing your answer only on the permitted register evidence and approved training materials."
sc_exposure_note,"Briefly identify the source of the additional knowledge—for example, prior project involvement, professional familiarity or accidental exposure to reviewer information.",scratch_coder,notes,,,,conditional,([record_kind] <> '2' or [record_kind] = '') and [sc_exposure] = '1',yes,no,yes,Do not reproduce restricted content or another reviewer’s classification.
sc_domains,Research Domain(s),scratch_coder,checkbox,1,Labour Market & Employment,Labour Market & Employment,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select every supported substantive domain, or Unclear alone."
sc_domains,Research Domain(s),scratch_coder,checkbox,2,Education & Skills,Education & Skills,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select every supported substantive domain, or Unclear alone."
sc_domains,Research Domain(s),scratch_coder,checkbox,3,Health & Social Care,Health & Social Care,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select every supported substantive domain, or Unclear alone."
sc_domains,Research Domain(s),scratch_coder,checkbox,4,Crime & Justice,Crime & Justice,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select every supported substantive domain, or Unclear alone."
sc_domains,Research Domain(s),scratch_coder,checkbox,5,Business & Productivity,Business & Productivity,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select every supported substantive domain, or Unclear alone."
sc_domains,Research Domain(s),scratch_coder,checkbox,6,"Poverty, Wealth & Living Standards","Poverty, Wealth & Living Standards",conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select every supported substantive domain, or Unclear alone."
sc_domains,Research Domain(s),scratch_coder,checkbox,7,Housing & Planning,Housing & Planning,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select every supported substantive domain, or Unclear alone."
sc_domains,Research Domain(s),scratch_coder,checkbox,8,Migration & Demographics,Migration & Demographics,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select every supported substantive domain, or Unclear alone."
sc_domains,Research Domain(s),scratch_coder,checkbox,9,Environment & Agriculture,Environment & Agriculture,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select every supported substantive domain, or Unclear alone."
sc_domains,Research Domain(s),scratch_coder,checkbox,10,Public Finance & Taxation,Public Finance & Taxation,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select every supported substantive domain, or Unclear alone."
sc_domains,Research Domain(s),scratch_coder,checkbox,11,Data Infrastructure & Methodology,Data Infrastructure & Methodology,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select every supported substantive domain, or Unclear alone."
sc_domains,Research Domain(s),scratch_coder,checkbox,12,Unclear from Register Entry,Unclear from Register Entry,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select every supported substantive domain, or Unclear alone."
sc_purposes,Analytical Purpose(s),scratch_coder,checkbox,1,Descriptive Monitoring,Descriptive Monitoring,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select one or at most two purposes, or Unclear alone."
sc_purposes,Analytical Purpose(s),scratch_coder,checkbox,2,Outcome Tracking,Outcome Tracking,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select one or at most two purposes, or Unclear alone."
sc_purposes,Analytical Purpose(s),scratch_coder,checkbox,3,Life-Course / Trajectory Analysis,Life-Course / Trajectory Analysis,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select one or at most two purposes, or Unclear alone."
sc_purposes,Analytical Purpose(s),scratch_coder,checkbox,4,Service Interaction / Systems Analysis,Service Interaction / Systems Analysis,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select one or at most two purposes, or Unclear alone."
sc_purposes,Analytical Purpose(s),scratch_coder,checkbox,5,Policy Evaluation / Impact Analysis,Policy Evaluation / Impact Analysis,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select one or at most two purposes, or Unclear alone."
sc_purposes,Analytical Purpose(s),scratch_coder,checkbox,6,Risk Prediction / Early Identification,Risk Prediction / Early Identification,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select one or at most two purposes, or Unclear alone."
sc_purposes,Analytical Purpose(s),scratch_coder,checkbox,7,Methodological / Infrastructure Research,Methodological / Infrastructure Research,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select one or at most two purposes, or Unclear alone."
sc_purposes,Analytical Purpose(s),scratch_coder,checkbox,8,Unclear from Register Entry,Unclear from Register Entry,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Select one or at most two purposes, or Unclear alone."
sc_covid,COVID-19 & Pandemic,scratch_coder,radio,0,No,,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,
sc_covid,COVID-19 & Pandemic,scratch_coder,radio,1,Yes,,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,
sc_equity,Demographic disparities / equity tag,scratch_coder,radio,0,No,,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,
sc_equity,Demographic disparities / equity tag,scratch_coder,radio,1,Yes,,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,
sc_sufficiency,Register-entry sufficiency,scratch_coder,radio,1,Sufficient,,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,
sc_sufficiency,Register-entry sufficiency,scratch_coder,radio,2,Partial,,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,
sc_sufficiency,Register-entry sufficiency,scratch_coder,radio,3,Insufficient,,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,
sc_taxonomy_fit,Taxonomy fit,scratch_coder,radio,1,Fit,,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Taxonomy fit asks whether the taxonomy can adequately represent the project, not whether the public register entry contains enough information to judge this. Select “Cannot assess from register entry” when the entry is too limited to determine taxonomy fit. Do not select “Partial Fit” or “No Fit” solely because the entry lacks information."
sc_taxonomy_fit,Taxonomy fit,scratch_coder,radio,2,Partial Fit,,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Taxonomy fit asks whether the taxonomy can adequately represent the project, not whether the public register entry contains enough information to judge this. Select “Cannot assess from register entry” when the entry is too limited to determine taxonomy fit. Do not select “Partial Fit” or “No Fit” solely because the entry lacks information."
sc_taxonomy_fit,Taxonomy fit,scratch_coder,radio,3,No Fit,,conditional,[record_kind] <> '2' or [record_kind] = '',yes,no,yes,"Taxonomy fit asks whether the taxonomy can adequately represent the project, not whether the public register entry contains enough information to judge this. Select “Cannot assess from register entry” when the entry is too limited to determine taxonomy fit. Do not select “Partial Fit” or “No Fit” solely because the entry lacks information."
