trace_id,protocol_subsection,requirement_summary,implementation_status,module,function,test,output_shell,notes,ambiguity_or_conflict
8.1-01,8.1,Random-baseline primary population and dimension-specific common complete cases,Tested,analysis.validation.schema; analysis.validation.replacement,complete_case_projects; replacement_panel_analysis,tests/test_validation_schema_parsing.py; tests/test_validation_metrics.py,sample_flow_and_completion.csv,Retained instrument-inconsistent responses remain unless fatal for the dimension,
8.1-02,8.1,Broad and strict subsets use original pre-adjudication sufficiency ratings,Tested,analysis.validation.sufficiency,broad_register_usable; strict_register_sufficient,tests/test_validation_schema_parsing.py,sufficiency_sensitivity.csv,Subset functions have no adjudicated input,
8.1-03,8.1,Hard-case sample analysed separately as diagnostic and non-representative,Output shell prepared,analysis.validation.schema,ProjectRatings.sample_set,tests/test_validation_schema_parsing.py,sample_flow_and_completion.csv,Parser preserves random-baseline versus hard-case sample set; empirical reporting is deferred,
8.1-04,8.1,Project-owner stream remains separate and retains recruitment route,Tested foundation,analysis.validation.owner,owner_response_denominators; sequence_evidence_status,tests/test_validation_owner.py,project_owner_results.csv,Sequence and supplementary routes remain distinct; no empirical responses.,
8.1-05,8.1,Adjudication population applies only to protocol-eligible cases,Tested foundation,analysis.validation.adjudication,adjudication_reasons,tests/test_validation_adjudication.py,adjudication_issue_frequencies.csv,Population reasons are synthetic only; no case has been adjudicated.,
8.1-06,8.1,Unclear from Register Entry is an ordinary active primary-analysis label,Tested,analysis.validation.schema,validate_project,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Unclear is retained as a label while coexistence is flagged,
8.2-01,8.2,Domains and purposes use MASI-distance Krippendorff alpha,Tested,analysis.validation.metrics; analysis.validation.alpha,masi_distance; krippendorff_alpha,tests/test_validation_metrics.py,replacement_panel_alphas.csv,Self-contained coincidence-matrix implementation,
8.2-02,8.2,Calculate alpha_ABC alpha_LBC alpha_ALC and alpha_ABL on one common set,Tested,analysis.validation.replacement,replacement_panel_analysis,tests/test_validation_metrics.py,replacement_panel_alphas.csv,Model substitution is explicit for A B and C,
8.2-03,8.2,Calculate delta_A delta_B delta_C and delta_min,Tested,analysis.validation.replacement,replacement_panel_analysis,tests/test_validation_metrics.py,replacement_differences.csv,Undefined components propagate to differences,
8.2-04,8.2,Jointly recalculate linked replacement quantities within every bootstrap sample,Tested,analysis.validation.replacement; analysis.validation.bootstrap,replacement_statistic_values; bootstrap_joint,tests/test_validation_bootstrap_intervals.py,replacement_differences.csv,One evaluator call receives each sampled project-block sequence,
8.2-05,8.2,Binary-tag replacement panels use nominal distance,Implemented foundation,analysis.validation.metrics; analysis.validation.alpha,nominal_distance; krippendorff_alpha,tests/test_validation_metrics.py,tag_diagnostics.csv,Full tag reporting is deferred to Batch 2,
8.2-06,8.2,Interpret delta_min with interval and broader evidence profile,Deferred to Batch 2,,,,replacement_differences.csv,No pass/fail or release interpretation is implemented,
8.3-01,8.3,Broad subset requires two ratings of Sufficient or Partially sufficient,Tested,analysis.validation.sufficiency,broad_register_usable,tests/test_validation_schema_parsing.py,sufficiency_sensitivity.csv,All 27 three-coder combinations tested,
8.3-02,8.3,Strict subset requires two Sufficient ratings,Tested,analysis.validation.sufficiency,strict_register_sufficient,tests/test_validation_schema_parsing.py,sufficiency_sensitivity.csv,All 27 three-coder combinations tested,
8.3-03,8.3,Majority-Insufficient records remain in unconditional primary analysis,Tested,analysis.validation.sufficiency,majority_insufficient,tests/test_validation_schema_parsing.py,sample_flow_and_completion.csv,No primary-population filter uses majority_insufficient,
8.3-04,8.3,Exposure-flagged coder-project responses remain primary; report frequency and exclude flagged responses in sensitivity analysis where informative,Deferred to Batch 2,analysis.validation.redcap,decode_scratch_row; parse_scratch_export_rows,tests/test_validation_schema_parsing.py,sample_flow_and_completion.csv; sufficiency_sensitivity.csv,Exposure flag and restricted source note are preserved and tested; declaration and synthetic QA records are excluded; qualitative note summary only,No source-specific quantitative reporting is promised
8.4-01,8.4,Exact-set equality and project-level Jaccard,Tested,analysis.validation.metrics,exact_set_equality; jaccard_similarity,tests/test_validation_metrics.py,per_label_diagnostics.csv,Empty-set behaviour is explicit,
8.4-02,8.4,Per-label Cohen kappa is not macro-averaged; precision recall and F1 macro eligibility starts at 10 positives,Tested foundation,analysis.validation.diagnostics,macro_average_eligible,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Full metric aggregation remains deferred.,
8.4-03,8.4,Per-label precision recall and F1 against majority-human reference,Deferred to Batch 2,analysis.validation.diagnostics,human_supported; majority_supported_labels,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Only the majority-reference primitive is implemented,
8.4-04,8.4,Full binary-tag prevalence and agreement diagnostics,Deferred to Batch 2,analysis.validation.metrics,nominal_distance,tests/test_validation_metrics.py,tag_diagnostics.csv,No kappa AC1 positive agreement or classification pipeline yet,
8.4-05,8.4,Human support is independent two-of-three labelwise aggregation,Tested,analysis.validation.diagnostics,human_supported; majority_supported_labels,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Purpose majority set may contain more than two labels,
8.5-01,8.5,Register-sufficiency distributions and subset sizes by sample,Output shell prepared,analysis.validation.sufficiency,broad_register_usable; strict_register_sufficient,tests/test_validation_schema_parsing.py,evidence_and_taxonomy_diagnostics.csv,Aggregation deferred until locked outcomes,
8.5-02,8.5,Cannot assess is separate from No Fit and excluded from taxonomy-defect denominator,Tested,analysis.validation.diagnostics,taxonomy_defect_eligible; taxonomy_issue_denominator,tests/test_validation_schema_parsing.py,evidence_and_taxonomy_diagnostics.csv,Issue denominator contains Partial Fit and No Fit only,
8.5-03,8.5,Unclear use and coherence patterns are diagnostic,Output shell prepared,analysis.validation.schema,validate_project,tests/test_validation_schema_parsing.py,evidence_and_taxonomy_diagnostics.csv,Coexistence is retained and flagged,
8.5-04,8.5,Diagnostic category majorities require two matching ratings; three-way splits remain No majority / split judgement,Tested,analysis.validation.diagnostics,majority_diagnostic_rating,tests/test_validation_schema_parsing.py,evidence_and_taxonomy_diagnostics.csv,No ordering or averaging resolves a split.,
8.6-01,8.6,Owner recruitment flow is reported separately by sequence and supplementary route,Schema and tested foundation,analysis.validation.owner,owner_response_denominators,tests/test_validation_owner.py,project_owner_results.csv,No real recruitment or responses.,
8.6-02,8.6,Proposed-label verdict denominator is completed owner-label verdicts,Tested,analysis.validation.owner,owner_response_denominators,tests/test_validation_owner.py,project_owner_results.csv,Response and unique-record denominators remain distinct.,
8.6-03,8.6,Unique record-label results distinguish one response concordant responses and mixed responses without majority,Tested,analysis.validation.owner,record_label_response_patterns,tests/test_validation_owner.py,project_owner_results.csv,No owner-majority classification.,
8.6-04,8.6,Combined unique-record results deduplicate records reviewed through both routes,Tested,analysis.validation.owner,owner_response_denominators,tests/test_validation_owner.py,project_owner_results.csv,Every completed owner-record response remains represented at response level.,
8.6-05,8.6,Fifty-record target and 25-record minimum count sequence-based complete reviews only,Tested,analysis.validation.owner,complete_owner_review; sequence_evidence_status,tests/test_validation_owner.py,sample_flow_and_completion.csv,Supplementary reviews do not count toward either threshold.,
8.7-01,8.7,Adjudication frequencies use completed adjudicated records and issue families are non-mutually-exclusive,Vocabulary tested,analysis.validation.adjudication,ADJUDICATION_ISSUE_FAMILIES,tests/test_validation_adjudication.py,adjudication_issue_frequencies.csv,No empirical frequencies.,
8.7-02,8.7,Stage 1 masks sources deduplicates identical label sets and withholds owner evidence,Tested foundation,analysis.validation.adjudication,build_source_masked_stage1,tests/test_validation_adjudication.py,adjudication_issue_frequencies.csv,Owner-only cases receive the production set without an artificial competitor.,
8.7-03,8.7,Recurring triggers require two records or independent pre-reveal streams except documented headline escalation,Tested foundation,analysis.validation.adjudication,recurring_mechanism,tests/test_validation_adjudication.py,release_trigger_summary.csv,Source-revealed adjudicator confirmation is not a second independent source.,
8.8-01,8.8,Support counts use majority-supported random-baseline records only,Implemented foundation,analysis.validation.diagnostics,human_supported; support_band,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Hard-case records are not inputs to the support helper,
8.8-02,8.8,Fewer than 10 positives is descriptive only,Tested,analysis.validation.diagnostics,support_band,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Boundary tests include 0 and 9,
8.8-03,8.8,Ten to 29 positives requires interval and caution,Tested,analysis.validation.diagnostics,support_band,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Full metric reporting deferred,
8.8-04,8.8,Thirty or more positives uses standard reporting,Tested,analysis.validation.diagnostics,support_band,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Full metric reporting deferred,
8.8-05,8.8,Production prevalence is planning proxy only and COVID is low-prevalence diagnostic,Deferred to Batch 2,,,,tag_diagnostics.csv,No real prevalence or outcome analysis is performed,
8.8-06,8.8,Domain and purpose macro-averages include labels with at least 10 baseline positives and exclude tags and kappa,Tested foundation,analysis.validation.diagnostics,macro_average_eligible,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Full empirical macro-average calculation remains deferred,
8.9-01,8.9,Baseline proportions use 95 percent Wilson score intervals,Tested,analysis.validation.intervals,wilson_interval,tests/test_validation_bootstrap_intervals.py,per_label_diagnostics.csv,No Wald interval implementation exists,
8.9-02,8.9,Attempt 2000 project-level bootstrap resamples with seed 20260714,Implemented foundation,analysis.validation.bootstrap,bootstrap_joint,tests/test_validation_bootstrap_intervals.py,replacement_differences.csv,Tests use small toy counts and seeds; formal default is 2000,
8.9-03,8.9,Keep complete project blocks together and sample with replacement,Tested,analysis.validation.bootstrap,bootstrap_joint,tests/test_validation_bootstrap_intervals.py,replacement_differences.csv,Repeated Record IDs remain separate sampled units,
8.9-04,8.9,Do not top up undefined replicates and track statistic-specific validity,Tested,analysis.validation.bootstrap,bootstrap_joint,tests/test_validation_bootstrap_intervals.py,replacement_differences.csv,Attempted valid invalid and reasons are retained,
8.9-05,8.9,Suppress interval below 90 percent valid replicates,Tested,analysis.validation.bootstrap,bootstrap_joint,tests/test_validation_bootstrap_intervals.py,replacement_differences.csv,Exactly 90 percent remains reportable,
8.9-06,8.9,Calculate percentile intervals from valid replicates only,Tested,analysis.validation.bootstrap,percentile,tests/test_validation_bootstrap_intervals.py,replacement_differences.csv,Hyndman-Fan Type 7 is explicit in protocol v0.15 and equivalent to NumPy/Pandas linear interpolation,
8.10-01,8.10,Exclude training demonstration discussion and pilot records,Tested,analysis.validation.redcap,parse_scratch_export_rows,tests/test_validation_schema_parsing.py,sample_flow_and_completion.csv,Candidate-0.3 pilot row is decoded for compatibility then excluded,
8.10-02,8.10,Missing scratch responses follow dimension common complete-case rule,Tested,analysis.validation.schema; analysis.validation.replacement,complete_case_projects; replacement_panel_analysis,tests/test_validation_schema_parsing.py; tests/test_validation_metrics.py,sample_flow_and_completion.csv,Missing coder or dimension is fatal only for affected analysis,
8.10-03,8.10,Project-owner non-response is reported and not imputed,Deferred to Batch 2,,,,project_owner_results.csv,No owner outcome ingestion,
8.10-04,8.10,Owner non-public knowledge is project-informed and does not penalise register model,Deferred to Batch 2,,,,project_owner_results.csv,Owner analysis is deliberately absent,
8.10-05,8.10,Missing or uninterpretable dimension values follow the common complete-case rule; a completed response is not converted to missing merely because the frozen structural validator flags it,Tested,analysis.validation.schema,validate_project; complete_case_projects,tests/test_validation_schema_parsing.py,sample_flow_and_completion.csv,Fatal missing values remain dimension-labelled while readable structural failures are retained unchanged in the primary analysis,
8.10-06,8.10,Readable coherence concerns are retained and flagged,Tested,analysis.validation.schema,validate_project,tests/test_validation_schema_parsing.py,evidence_and_taxonomy_diagnostics.csv,Unclear coexistence and candidate-0.5 fit coherence are examples,
8.10-07,8.10,Instrument-inconsistent sensitivity uses the frozen candidate-0.7 validator and excludes complete projects containing any affected formal scratch response,Tested,analysis.validation.instrument_sensitivity,validate_formal_candidate_0_7_rows; analyse_instrument_validity_sensitivity,tests/test_instrument_validity_sensitivity.py,sufficiency_sensitivity.csv,Primary responses are not mutated; declaration owner QA and historical rows are excluded; the report includes affected counts retained population replacement-panel and applicable per-label primary/sensitivity estimates and differences,
