field,canonical_entity,source_form_class,distinct_observed_forms,total_occurrences,modal_form_occurrences,minimum_required_relabels,records,changed_occurrences,fragmentation_rank
datasets,Census 2011 100% Household and Individual - England an d Wales,single_observed_form,1,1,1,0,1,0,
datasets,Department for Education: Employer Skills Survey,single_observed_form,1,1,1,0,1,1,
datasets,Census 2011 Individual Secure Sample England and Wales,single_observed_form,1,1,1,0,1,1,
datasets,Census 2011 and Census 2021 England and Wales,single_observed_form,1,2,2,0,2,2,
datasets,Integrated Census Microdata,single_observed_form,1,2,2,0,2,0,
datasets,Annual Business Survey - UK,single_observed_form,1,1,1,0,1,1,
datasets,Business Register Employment Survey - UK Living Costs and Food Survey - UK Labour Force Survey Household - UK Consumer and Retail Price Index - UK Annual Survey of Hours and Earnings Longitudinal - UK Annual Population Survey,single_observed_form,1,1,1,0,1,1,
datasets,National Travel Survey English Housing Survey,single_observed_form,1,1,1,0,1,0,
datasets,English Housing Survey UK Household Electricity and Activity Survey Smart Energy Research Lab Observatory,single_observed_form,1,1,1,0,1,1,
datasets,DEA Research Project Accreditation Understanding Society,single_observed_form,1,1,1,0,1,0,
datasets,MoJ Data First Link Ed Criminal Courts,single_observed_form,1,1,1,0,1,1,
datasets,MoJ Data First Magistrates Court Defendant Iteration 2,single_observed_form,1,1,1,0,1,1,
datasets,Children of the 2020s Longitudinal Study,single_observed_form,1,2,2,0,2,2,
datasets,Census Microdata 9% Sample,single_observed_form,1,1,1,0,1,0,
datasets,Digital library of historical directories,single_observed_form,1,1,1,0,1,0,
datasets,Urban Population Database,single_observed_form,1,1,1,0,1,0,
datasets,Longitudinal Study of young people in England,single_observed_form,1,1,1,0,1,0,
datasets,Low carbon and renewable energy economy,single_observed_form,1,1,1,0,1,0,
datasets,UK: 2023,single_observed_form,1,1,1,0,1,0,
datasets,UK research and Innovation Workforce Survey,single_observed_form,1,1,1,0,1,0,
datasets,Longitudinal Inter-Development Business Register,single_observed_form,1,1,1,0,1,0,
datasets,Employer Skills Survey: Investment in Training,single_observed_form,1,1,1,0,1,0,
datasets,Census 2021 10% Sample,single_observed_form,1,1,1,0,1,1,
datasets,Linked Credit Reference Agency (CRA),single_observed_form,1,1,1,0,1,1,
datasets,Northern Ireland Economic Trade,single_observed_form,1,1,1,0,1,1,
datasets,Census 2022,single_observed_form,1,1,1,0,1,1,
datasets,Annual Respondents Database X (ARDx) Business Register and Employment Survey,single_observed_form,1,1,1,0,1,0,
datasets,Structure Database,single_observed_form,1,1,1,0,1,1,
datasets,udinal Business Database,single_observed_form,1,1,1,0,1,1,
datasets,Safeguarded Living Costs and Food Survey,single_observed_form,1,1,1,0,1,0,
datasets,Census 2011 (CENW),single_observed_form,1,1,1,0,1,0,
datasets,Census 2021 (CENS) Ministry of Justice,single_observed_form,1,1,1,0,1,0,
datasets,MoJ Data First Magistrates Court Defendant,single_observed_form,1,1,1,0,1,1,
datasets,Annual Business Survey - GB Annual Survey of Hours and Earnings,single_observed_form,1,1,1,0,1,1,
datasets,Longitudinal Business Register,single_observed_form,1,1,1,0,1,0,
datasets,Census 2021 Household Secure Microdata Sample,single_observed_form,1,2,2,0,2,2,
datasets,MoJ Data First Offender Assessment,single_observed_form,1,1,1,0,1,1,
datasets,Business Structure Database - UK Annual Survey of Hours and Earnings - GB Annual Population Survey - UK Annual International Trade in Services,single_observed_form,1,1,1,0,1,1,
datasets,Business Register Emplyment Survey,single_observed_form,1,1,1,0,1,1,
datasets,Quarterly Fuels Inquiry / Quarterly Fuels Survey,single_observed_form,1,1,1,0,1,0,
datasets,Northern Ireland Annual Business Inquiry (NIABI),single_observed_form,1,2,2,0,2,0,
datasets,Northern Ireland Economic Trade Statistics (NIETS),single_observed_form,1,1,1,0,1,0,
datasets,Business Data Research (BDR) 2022 Themed,single_observed_form,1,1,1,0,1,1,
datasets,ONS Census 2021,single_observed_form,1,1,1,0,1,0,
datasets,Children of the 2020s: Wave 1,single_observed_form,1,1,1,0,1,0,
datasets,Northern Ireland Economic Trade Statistics (NIETS) Northern Ireland Annual Survey of Hours and Earnings (NI ASHE),single_observed_form,1,1,1,0,1,0,
organisations,London School of Economics and Political Science (LSE),fragmented_observed_forms,9,97,55,42,97,97,1
organisations,Chartered Institute of Personnel and Development (CIPD),single_observed_form,1,1,1,0,1,1,
organisations,Office for National Statistics (ONS),fragmented_observed_forms,3,47,40,7,47,47,11
organisations,Office of the Victims' Commissioner for England and Wales,single_observed_form,1,1,1,0,1,0,
organisations,Happy City Initiative,single_observed_form,1,1,1,0,1,0,
organisations,New Economics Foundation,single_observed_form,1,1,1,0,1,0,
organisations,The Work Foundation,single_observed_form,1,3,3,0,3,0,
organisations,ARUP,fragmented_observed_forms,2,2,1,1,2,1,63
organisations,Aston University,fragmented_observed_forms,4,14,6,8,14,8,10
organisations,University of Bath,fragmented_observed_forms,2,23,21,2,23,2,31
organisations,Oxford Economics,single_observed_form,1,1,1,0,1,0,
organisations,Frontier Economics Ltd,fragmented_observed_forms,2,24,21,3,24,3,24
organisations,Cardiff University,fragmented_observed_forms,3,37,28,9,37,9,5
organisations,Institute for Fiscal Studies (IFS),fragmented_observed_forms,3,67,64,3,67,67,20
organisations,Bank of England,single_observed_form,1,22,22,0,22,0,
organisations,Department for International Trade,single_observed_form,1,7,7,0,7,0,
organisations,University of Sussex,fragmented_observed_forms,2,19,18,1,19,1,42
organisations,Competition and Markets Authority (CMA),single_observed_form,1,8,8,0,8,8,
organisations,University of Strathclyde,single_observed_form,1,32,32,0,32,0,
organisations,University College London (UCL),fragmented_observed_forms,12,120,99,21,120,120,2
organisations,King's College London (KCL),fragmented_observed_forms,5,32,24,8,32,32,8
organisations,St Mungo's,single_observed_form,1,1,1,0,1,0,
organisations,University of York,fragmented_observed_forms,2,13,12,1,13,1,48
organisations,Columbia University,single_observed_form,1,1,1,0,1,0,
organisations,Northern Ireland Statistics and Research Agency (NISRA),fragmented_observed_forms,2,7,6,1,7,6,53
organisations,University of Oxford,fragmented_observed_forms,2,50,47,3,50,3,22
organisations,Ipsos,fragmented_observed_forms,5,27,18,9,27,22,6
organisations,Hardisty Jones Associates,single_observed_form,1,1,1,0,1,0,
organisations,BOP Consulting,single_observed_form,1,1,1,0,1,0,
organisations,Bournemouth University,single_observed_form,1,1,1,0,1,1,
organisations,University of Essex,single_observed_form,1,26,26,0,26,0,
organisations,University of Southampton,single_observed_form,1,23,23,0,23,0,
organisations,National Institute for Economic and Social Research (NIESR),fragmented_observed_forms,2,15,13,2,15,15,33
organisations,Knowledge Transfer Network,single_observed_form,1,1,1,0,1,0,
organisations,Innovate UK,single_observed_form,1,5,5,0,5,0,
organisations,University of East Anglia,fragmented_observed_forms,2,12,11,1,12,1,49
organisations,University of London,single_observed_form,1,16,16,0,16,0,
organisations,"Royal Holloway, University of London",fragmented_observed_forms,4,9,4,5,9,5,14
organisations,Simetrica,single_observed_form,1,12,12,0,12,0,
organisations,"Department for Business, Energy and Industrial Strategy (BEIS)",fragmented_observed_forms,2,5,4,1,5,5,55
organisations,Imperial College London,fragmented_observed_forms,4,17,14,3,17,3,25
organisations,Cambridge Econometrics,single_observed_form,1,2,2,0,2,0,
organisations,University of Manchester,fragmented_observed_forms,4,43,23,20,43,25,3
organisations,Department of Health (Northern Ireland),single_observed_form,1,1,1,0,1,1,
organisations,Scottish Government,single_observed_form,1,3,3,0,3,0,
organisations,Public Health England (PHE),single_observed_form,1,4,4,0,4,4,
organisations,University of Edinburgh,fragmented_observed_forms,2,31,18,13,31,18,4
organisations,Methods Analytics,single_observed_form,1,1,1,0,1,0,
organisations,Welsh Government,single_observed_form,1,14,14,0,14,0,
organisations,University of Cambridge,fragmented_observed_forms,3,26,24,2,26,2,30
organisations,Durham University,fragmented_observed_forms,2,19,11,8,19,11,9
organisations,Lancaster University,fragmented_observed_forms,2,18,12,6,18,6,12
organisations,University of Leeds,fragmented_observed_forms,3,12,10,2,12,2,34
organisations,"Queen's University Belfast Management, School",single_observed_form,1,1,1,0,1,0,
organisations,Nesta,single_observed_form,1,4,4,0,4,0,
organisations,University of St Andrews,fragmented_observed_forms,2,15,14,1,15,1,45
organisations,University of Birmingham,single_observed_form,1,16,16,0,16,0,
organisations,Alan Turing Institute,fragmented_observed_forms,3,5,2,3,5,4,28
organisations,European University Institute,fragmented_observed_forms,2,2,1,1,2,1,67
organisations,University of the West of England,fragmented_observed_forms,3,10,7,3,10,8,26
organisations,University of Reading,fragmented_observed_forms,2,13,12,1,13,1,47
organisations,Low Pay Commission (LPC),single_observed_form,1,4,4,0,4,4,
organisations,Swansea University,fragmented_observed_forms,4,66,63,3,66,3,21
organisations,"ADS (Aerospace, Defence, Security, Space) Group Limited",single_observed_form,1,2,2,0,2,2,
organisations,Public Health Wales (PHW),single_observed_form,1,15,15,0,15,15,
organisations,Health Data Research UK (HDR UK),single_observed_form,1,1,1,0,1,1,
organisations,Cancer Research UK,single_observed_form,1,1,1,0,1,0,
organisations,University of Nottingham,single_observed_form,1,23,23,0,23,0,
organisations,Economic Statistics Centre of Excellence,fragmented_observed_forms,2,2,1,1,2,1,64
organisations,University of Warwick,fragmented_observed_forms,4,34,31,3,34,3,23
organisations,UCL Institute of Education,fragmented_observed_forms,3,8,6,2,8,2,36
organisations,Belmana,fragmented_observed_forms,2,15,14,1,15,1,44
organisations,SQW - Economic and Management Consultants,fragmented_observed_forms,3,6,3,3,6,3,27
organisations,Be the Business,single_observed_form,1,1,1,0,1,0,
organisations,London Metropolitan University,single_observed_form,1,1,1,0,1,1,
organisations,National Institute of Social and Economic Research,single_observed_form,1,1,1,0,1,0,
organisations,Joint Biosecurity Centre,single_observed_form,1,1,1,0,1,1,
organisations,Department of Health and Social Care (DHSC),fragmented_observed_forms,2,5,3,2,5,5,37
organisations,PA Consulting,single_observed_form,1,2,2,0,2,0,
organisations,UK Health Security Agency,single_observed_form,1,2,2,0,2,0,
organisations,Greater London Authority (GLA),single_observed_form,1,9,9,0,9,9,
organisations,Tech City UK,single_observed_form,1,2,2,0,2,0,
organisations,Kingston University,fragmented_observed_forms,2,3,2,1,3,2,58
organisations,London School of Hygiene and Tropical Medicine (LSHTM),single_observed_form,1,13,13,0,13,13,
organisations,Queen's University Belfast,single_observed_form,1,20,20,0,20,0,
organisations,Queen Mary University of London,fragmented_observed_forms,6,16,7,9,16,9,7
organisations,Nottingham Trent University,fragmented_observed_forms,2,3,2,1,3,1,60
organisations,"Birkbeck, University of London",single_observed_form,1,1,1,0,1,1,
organisations,Glasgow City Council,single_observed_form,1,2,2,0,2,0,
organisations,"City, University of London",fragmented_observed_forms,4,11,7,4,11,9,15
organisations,University of Liverpool,fragmented_observed_forms,2,20,15,5,20,5,13
organisations,Saga City Research,single_observed_form,1,1,1,0,1,0,
organisations,National Foundation for Education Research (NFER),fragmented_observed_forms,2,14,13,1,14,14,46
organisations,RSM UK,fragmented_observed_forms,2,4,3,1,4,1,56
organisations,British Psychological Society,single_observed_form,1,1,1,0,1,0,
organisations,Nuffield Family Justice Observatory,single_observed_form,1,2,2,0,2,0,
organisations,Lancaster University Management School,single_observed_form,1,1,1,0,1,1,
organisations,Nuffield Foundation,single_observed_form,1,1,1,0,1,0,
organisations,Institute for Employment Studies (IES),single_observed_form,1,1,1,0,1,1,
organisations,Free University of Bozen-Bolzano,single_observed_form,1,1,1,0,1,0,
organisations,West Midlands Combined Authority,single_observed_form,1,2,2,0,2,0,
organisations,Cranfield University,single_observed_form,1,1,1,0,1,1,
organisations,University of Surrey,fragmented_observed_forms,2,17,16,1,17,1,43
organisations,University of Bristol,fragmented_observed_forms,3,29,27,2,29,2,29
organisations,University of Exeter,fragmented_observed_forms,3,17,15,2,17,2,32
organisations,University of Oxford - Sociology,fragmented_observed_forms,2,4,2,2,4,2,39
organisations,University of Sheffield,fragmented_observed_forms,2,31,30,1,31,1,41
organisations,Hackney Council,single_observed_form,1,1,1,0,1,0,
organisations,University of Dundee,fragmented_observed_forms,2,10,9,1,10,1,51
organisations,Newcastle University,single_observed_form,1,9,9,0,9,0,
organisations,University of Leicester,single_observed_form,1,11,11,0,11,0,
organisations,Loughborough University,fragmented_observed_forms,2,8,6,2,8,2,35
organisations,University of Hertfordshire,single_observed_form,1,3,3,0,3,0,
organisations,Manchester Metropolitan University,fragmented_observed_forms,2,3,2,1,3,1,59
organisations,Institute of Occupational Medicine,single_observed_form,1,2,2,0,2,0,
organisations,University of Brighton,single_observed_form,1,3,3,0,3,0,
organisations,What Works for Children's Social Care,single_observed_form,1,1,1,0,1,0,
organisations,Technopolis,single_observed_form,1,5,5,0,5,0,
organisations,Middlesex University,fragmented_observed_forms,2,2,1,1,2,1,72
organisations,London Borough of Redbridge,single_observed_form,1,1,1,0,1,0,
organisations,Skills Development Scotland,single_observed_form,1,2,2,0,2,0,
organisations,WPI Economics,single_observed_form,1,1,1,0,1,0,
organisations,University of Westminster,fragmented_observed_forms,2,10,6,4,10,4,16
organisations,FFT Education Ltd,fragmented_observed_forms,2,9,5,4,9,4,17
organisations,OFSTED,single_observed_form,1,2,2,0,2,0,
organisations,Netherlands Interdisciplinary Demographic Institute,single_observed_form,1,1,1,0,1,1,
organisations,Ifo Institute for Economic Research,single_observed_form,1,1,1,0,1,0,
organisations,London Economics,fragmented_observed_forms,2,10,9,1,10,1,50
organisations,Ulster University,single_observed_form,1,10,10,0,10,0,
organisations,Resolution Foundation,single_observed_form,1,8,8,0,8,0,
organisations,Institute of the Motor Industry,single_observed_form,1,1,1,0,1,0,
organisations,University of Greenwich,single_observed_form,1,1,1,0,1,0,
organisations,UK Research and Innovation,single_observed_form,1,2,2,0,2,0,
organisations,Johannes Kepler University Linz,single_observed_form,1,1,1,0,1,1,
organisations,Heriot-Watt University,fragmented_observed_forms,2,6,5,1,6,1,54
organisations,Health Foundation,fragmented_observed_forms,2,2,1,1,2,1,69
organisations,Academy of Medical Sciences,single_observed_form,1,1,1,0,1,1,
organisations,Brunel University London,single_observed_form,1,3,3,0,3,0,
organisations,Institute & Faculty of Actuaries,single_observed_form,1,1,1,0,1,0,
organisations,Municipal & General (M&G),single_observed_form,1,1,1,0,1,1,
organisations,HM Treasury,single_observed_form,1,3,3,0,3,0,
organisations,University of Glasgow,single_observed_form,1,9,9,0,9,0,
organisations,British Sociological Society,single_observed_form,1,1,1,0,1,0,
organisations,Cabinet Office,single_observed_form,1,3,3,0,3,0,
organisations,MIME Consulting Ltd,single_observed_form,1,2,2,0,2,0,
organisations,State of Life,single_observed_form,1,1,1,0,1,0,
organisations,University of Plymouth,fragmented_observed_forms,2,2,1,1,2,1,75
organisations,University of Portsmouth,single_observed_form,1,1,1,0,1,0,
organisations,PwC LLP,fragmented_observed_forms,4,7,3,4,7,7,19
organisations,University of Stirling,single_observed_form,1,5,5,0,5,0,
organisations,Georgetown University,single_observed_form,1,2,2,0,2,0,
organisations,Oxford Economics Ltd,single_observed_form,1,3,3,0,3,0,
organisations,Office for Health Improvement and Disparities (OHID),single_observed_form,1,1,1,0,1,1,
organisations,HM Revenue and Customs (HMRC),single_observed_form,1,1,1,0,1,1,
organisations,University of Florida,single_observed_form,1,1,1,0,1,0,
organisations,Centre for Cities,single_observed_form,1,5,5,0,5,0,
organisations,University of Barcelona,fragmented_observed_forms,2,3,2,1,3,1,62
organisations,Institute for the Future of Work (IFOW),single_observed_form,1,1,1,0,1,1,
organisations,University of Hull,single_observed_form,1,2,2,0,2,0,
organisations,Coventry University,single_observed_form,1,1,1,0,1,1,
organisations,Cambridge Policy Consultants,single_observed_form,1,1,1,0,1,0,
organisations,University of Roehampton,single_observed_form,1,1,1,0,1,0,
organisations,Harvard University,single_observed_form,1,4,4,0,4,0,
organisations,Emory University,single_observed_form,1,1,1,0,1,0,
organisations,University of Kent,fragmented_observed_forms,2,8,7,1,8,1,52
organisations,Greater Manchester Combined Authority,single_observed_form,1,4,4,0,4,0,
organisations,University of Aberdeen,single_observed_form,1,1,1,0,1,0,
organisations,National Centre for Social Research (NatCen),single_observed_form,1,3,3,0,3,3,
organisations,Massachusetts Institute of Technology (MIT),single_observed_form,1,5,5,0,5,5,
organisations,Pro Bono Economics,single_observed_form,1,2,2,0,2,0,
organisations,DASCROSE Limited,single_observed_form,1,1,1,0,1,0,
organisations,Education Policy Institute,single_observed_form,1,6,6,0,6,0,
organisations,"Department for Digital, Culture, Media and Sport",single_observed_form,1,1,1,0,1,1,
organisations,University of Derby,single_observed_form,1,2,2,0,2,0,
organisations,Henley Business School (University of Reading),fragmented_observed_forms,2,2,1,1,2,1,70
organisations,Home Office,single_observed_form,1,1,1,0,1,0,
organisations,Social Market Foundation,single_observed_form,1,1,1,0,1,0,
organisations,Perspective Economics,single_observed_form,1,1,1,0,1,0,
organisations,Edinburgh Napier University,single_observed_form,1,7,7,0,7,0,
organisations,Equality and Human Rights Commission (EHRC),fragmented_observed_forms,2,2,1,1,2,2,66
organisations,Technological University Dublin,single_observed_form,1,1,1,0,1,1,
organisations,Sheffield Hallam University,single_observed_form,1,2,2,0,2,0,
organisations,Frazer-Nash Consultancy,single_observed_form,1,1,1,0,1,0,
organisations,The Young Foundation - Institute for Community Studies,single_observed_form,1,1,1,0,1,0,
organisations,Administrative Data Research Wales,single_observed_form,1,1,1,0,1,1,
organisations,"SAIL Databank, Swansea University",single_observed_form,1,1,1,0,1,1,
organisations,Lightcast,single_observed_form,1,1,1,0,1,0,
organisations,King's Fund,single_observed_form,1,1,1,0,1,0,
organisations,Federal Reserve Board of Governors,single_observed_form,1,1,1,0,1,0,
organisations,Learning and Work Institute,fragmented_observed_forms,2,2,1,1,2,1,71
organisations,Umeå University,single_observed_form,1,1,1,0,1,1,
organisations,University of Central Lancashire,single_observed_form,1,3,3,0,3,0,
organisations,UK Space Agency,single_observed_form,1,2,2,0,2,0,
organisations,Experian,single_observed_form,1,1,1,0,1,0,
organisations,National Physical Laboratory (NPL),single_observed_form,1,2,2,0,2,2,
organisations,Northumbria University,fragmented_observed_forms,3,4,2,2,4,2,38
organisations,Intellectual Property Office (IPO),single_observed_form,1,3,3,0,3,3,
organisations,Liverpool City Region Combined Authority,single_observed_form,1,1,1,0,1,0,
organisations,Tees Valley Combined Authority,single_observed_form,1,1,1,0,1,0,
organisations,Teesside University,fragmented_observed_forms,2,2,1,1,2,1,73
organisations,Yale University,single_observed_form,1,1,1,0,1,1,
organisations,Department for Business and Trade (DBT),single_observed_form,1,5,5,0,5,5,
organisations,"Department for Business, Innovation and Skills",single_observed_form,1,1,1,0,1,1,
organisations,Federal Reserve Bank of Philadelphia,single_observed_form,1,1,1,0,1,0,
organisations,University of Northampton,fragmented_observed_forms,2,2,1,1,2,1,74
organisations,ScaleUp Institute,single_observed_form,1,1,1,0,1,0,
organisations,Incomes Data Research,single_observed_form,1,1,1,0,1,0,
organisations,Institute for Social and Economic Research (University of Essex),fragmented_observed_forms,2,3,2,1,3,3,57
organisations,Newcastle City Council,single_observed_form,1,1,1,0,1,0,
organisations,RAND Europe,fragmented_observed_forms,2,3,2,1,3,1,61
organisations,"Department for Levelling Up, Housing and Communities (DLUHC)",single_observed_form,1,3,3,0,3,3,
organisations,University of Illinois Urbana-Champaign,single_observed_form,1,1,1,0,1,1,
organisations,Cardiff and Vale University Health Board,single_observed_form,1,1,1,0,1,0,
organisations,Digital Health and Care Wales,single_observed_form,1,2,2,0,2,0,
organisations,"Centre for Healthcare Evaluation, Device Assessment, and Research (CEDAR)",single_observed_form,1,1,1,0,1,1,
organisations,Welsh Value in Health Centre,single_observed_form,1,1,1,0,1,0,
organisations,OECD,single_observed_form,1,1,1,0,1,0,
organisations,Pearson,single_observed_form,1,1,1,0,1,0,
organisations,Behavioural Insights Team,single_observed_form,1,1,1,0,1,0,
organisations,Stripe Partners,single_observed_form,1,1,1,0,1,0,
organisations,University of California,single_observed_form,1,1,1,0,1,0,
organisations,Infact Systems Limited,single_observed_form,1,1,1,0,1,0,
organisations,SGN,single_observed_form,1,1,1,0,1,0,
organisations,The Police Foundation,single_observed_form,1,1,1,0,1,0,
organisations,University of Padova,single_observed_form,1,2,2,0,2,0,
organisations,Anglia Ruskin University Higher Education Corporation,single_observed_form,1,2,2,0,2,0,
organisations,Utrecht University,single_observed_form,1,1,1,0,1,1,
organisations,University of Lugano,single_observed_form,1,1,1,0,1,0,
organisations,Agri-Food and Biosciences Institute,fragmented_observed_forms,4,7,3,4,7,7,18
organisations,Cardiff Metropolitan University,single_observed_form,1,1,1,0,1,1,
organisations,International Monetary Fund (IMF),single_observed_form,1,1,1,0,1,1,
organisations,Wavehill Limited,single_observed_form,1,1,1,0,1,0,
organisations,Stanford University,single_observed_form,1,1,1,0,1,0,
organisations,Ministry of Justice (MoJ),single_observed_form,1,1,1,0,1,1,
organisations,UK Export Finance,single_observed_form,1,1,1,0,1,0,
organisations,ICF International,single_observed_form,1,1,1,0,1,0,
organisations,"Department for Culture, Media and Sport",single_observed_form,1,1,1,0,1,0,
organisations,Swansea Bay University Health Board,single_observed_form,1,1,1,0,1,0,
organisations,University of South Wales,single_observed_form,1,1,1,0,1,0,
organisations,Institut Européen d'Administration des Affaires (INSEAD),single_observed_form,1,1,1,0,1,1,
organisations,Financial Conduct Authority (FCA),single_observed_form,1,1,1,0,1,1,
organisations,National Infrastructure Commission,single_observed_form,1,1,1,0,1,0,
organisations,Vanguard,single_observed_form,1,1,1,0,1,0,
organisations,University of Antwerp,single_observed_form,1,1,1,0,1,0,
organisations,Whole Life Consultants,fragmented_observed_forms,2,4,2,2,4,2,40
organisations,AQA Education,single_observed_form,1,1,1,0,1,0,
organisations,NHS England,single_observed_form,1,1,1,0,1,1,
organisations,Nevin Economic Research Institute,single_observed_form,1,1,1,0,1,0,
organisations,Institute for Government (IfG),single_observed_form,1,1,1,0,1,1,
organisations,Marie Curie,single_observed_form,1,1,1,0,1,0,
organisations,University of Suffolk,single_observed_form,1,2,2,0,2,0,
organisations,Ecorys UK,single_observed_form,1,1,1,0,1,0,
organisations,University of the West of Scotland,single_observed_form,1,1,1,0,1,0,
organisations,Department for the Economy (Northern Ireland),single_observed_form,1,1,1,0,1,0,
organisations,Social Care Wales,single_observed_form,1,1,1,0,1,0,
organisations,IFF Research,single_observed_form,1,1,1,0,1,0,
organisations,Economic and Social Research Institute (ESRI),fragmented_observed_forms,2,2,1,1,2,1,65
organisations,Research Center in Applied Economics for Development CREAD - Algeria,single_observed_form,1,1,1,0,1,0,
organisations,Public Health Scotland (PHS),single_observed_form,1,1,1,0,1,1,
organisations,Alma Economics,single_observed_form,1,2,2,0,2,0,
organisations,Fraser of Allander Institute (University of Strathclyde),fragmented_observed_forms,2,2,1,1,2,1,68
organisations,Cambridge OCR,single_observed_form,1,1,1,0,1,0,
organisations,Pensions Policy Institute,single_observed_form,1,1,1,0,1,0,
organisations,Centre for Economic and Business Research (CEBR),single_observed_form,1,1,1,0,1,1,
organisations,University of Texas,single_observed_form,1,1,1,0,1,0,
organisations,University of Texas at Austin,single_observed_form,1,1,1,0,1,1,
organisations,The Lesbian Project,single_observed_form,1,1,1,0,1,0,
organisations,Independent Researcher,single_observed_form,1,1,1,0,1,0,
organisations,Sentencing Academy,single_observed_form,1,1,1,0,1,1,
organisations,Publishers Association,single_observed_form,1,1,1,0,1,0,
organisations,Trier University,single_observed_form,1,1,1,0,1,0,
organisations,Social Mobility Commission (SMC),single_observed_form,1,1,1,0,1,1,
organisations,OREC,single_observed_form,1,1,1,0,1,0,
organisations,Cyber Monitoring Centre,single_observed_form,1,1,1,0,1,0,
organisations,Sheffield Teaching Hospitals NHS Foundation Trust,single_observed_form,1,1,1,0,1,0,
organisations,Engineering Construction Industry Training Board (ECITB),single_observed_form,1,1,1,0,1,1,
organisations,"Ministry of National Education, Republic of Türkiye",single_observed_form,1,1,1,0,1,1,
organisations,IFS,single_observed_form,1,1,1,0,1,0,
organisations,Calver Pang,single_observed_form,1,1,1,0,1,0,
organisations,Oxford Brookes University,single_observed_form,1,1,1,0,1,0,
organisations,Anna Freud Centre,single_observed_form,1,1,1,0,1,0,
